year,month,day_type,zone_name,dir,avg_daily_zone_vol,dir_avg_daily_vol,zone_vol_percent,avg_trip_duration,avg_trip_length
2019,1,4: Weekend2 (F-Su),BB-WB,WB,6093,490394,1.24247034017545076000,3256,20.3
2019,1,4: Weekend2 (F-Su),GB-WB,WB,60074,490394,12.25014987948465927400,5193,55.4
2019,1,4: Weekend2 (F-Su),GWB-WB,WB,179712,490394,36.64645162869039996400,5135,52.1
2019,1,4: Weekend2 (F-Su),HT-WB,WB,70290,490394,14.33337275741546593100,4999,32.5
2019,1,4: Weekend2 (F-Su),LT-WB,WB,118301,490394,24.12366382949220422800,4632,33.7
2019,1,4: Weekend2 (F-Su),OB-WB,WB,55924,490394,11.40389156474181984300,4198,43.3
2019,1,5: Weekend Day (Sa-Su),BB-EB,EB,5995,455442,1.31630372253766670600,3528,25.2
2019,1,5: Weekend Day (Sa-Su),GB-EB,EB,64669,455442,14.19917355008980287300,5225,54.8
2019,1,5: Weekend Day (Sa-Su),GWB-EB,EB,189385,455442,41.58268231739716583000,5241,55
2019,1,5: Weekend Day (Sa-Su),HT-EB,EB,47946,455442,10.52735584333460682200,4658,29.3
2019,1,5: Weekend Day (Sa-Su),LT-EB,EB,88080,455442,19.33945485923564361700,4400,32.4
2019,1,5: Weekend Day (Sa-Su),OB-EB,EB,59367,455442,13.03502970740511415300,4338,44.8
2019,1,5: Weekend Day (Sa-Su),BB-WB,WB,4387,469451,0.93449582597544791700,3010,19.7
2019,1,5: Weekend Day (Sa-Su),GB-WB,WB,58814,469451,12.52825108477775103300,5042,55.8
2019,1,5: Weekend Day (Sa-Su),GWB-WB,WB,180191,469451,38.38334565268792696100,4997,53.2
2019,1,5: Weekend Day (Sa-Su),HT-WB,WB,68022,469451,14.48969114987506683300,5096,34.3
2019,1,5: Weekend Day (Sa-Su),LT-WB,WB,100008,469451,21.30318180172158542600,4670,36.4
2019,1,5: Weekend Day (Sa-Su),OB-WB,WB,58029,469451,12.36103448496222182900,4080,43.4
2019,2,0: All Days (M-Su),BB-EB,EB,11192,498640,2.24450505374618963600,3840,25.3
2019,2,0: All Days (M-Su),GB-EB,EB,64155,498640,12.86599550778116476800,5374,50.6
2019,2,0: All Days (M-Su),GWB-EB,EB,192068,498640,38.51836996630835873600,5475,52.3
2019,2,0: All Days (M-Su),HT-EB,EB,56787,498640,11.38837638376383763800,4365,24.5
2019,2,0: All Days (M-Su),LT-EB,EB,119842,498640,24.03377185945772501200,4339,27.2
2019,2,0: All Days (M-Su),OB-EB,EB,54596,498640,10.94898122894272421000,4472,43.1
2019,2,0: All Days (M-Su),BB-WB,WB,8132,522447,1.55652152275733232300,3438,21.5
2019,2,0: All Days (M-Su),GB-WB,WB,61799,522447,11.82875966365966308500,5239,52
2019,2,0: All Days (M-Su),GWB-WB,WB,181674,522447,34.77367082211209940900,5179,48.3
2019,2,0: All Days (M-Su),HT-WB,WB,73592,522447,14.08602212281819974100,4851,29.9
2019,2,0: All Days (M-Su),LT-WB,WB,143831,522447,27.53025665761311673700,4571,30.6
2019,2,0: All Days (M-Su),OB-WB,WB,53419,522447,10.22476921103958870500,4208,41.5
2019,2,1: Weekday (M-Th),BB-EB,EB,12738,489965,2.59977753513006031000,3896,25.1
